winner,outcome,date,venue,toss_winner,toss_decision,team1,team2
New Zealand,,2014-03-29,Zahur Ahmed Chowdhury Stadium,New Zealand,field,Netherlands,New Zealand
Pakistan,,2014-03-30,Shere Bangla National Stadium,Pakistan,bat,Bangladesh,Pakistan
India,,2014-03-30,Shere Bangla National Stadium,Australia,field,Australia,India
Sri Lanka,,2014-03-31,Zahur Ahmed Chowdhury Stadium,New Zealand,field,New Zealand,Sri Lanka
Netherlands,,2014-03-31,Zahur Ahmed Chowdhury Stadium,England,field,England,Netherlands
Australia,,2014-04-01,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh,Australia
West Indies,,2014-04-01,Shere Bangla National Stadium,West Indies,bat,Pakistan,West Indies
Sri Lanka,,2014-04-03,Shere Bangla National Stadium,Sri Lanka,bat,Sri Lanka,West Indies
India,,2014-04-04,Shere Bangla National Stadium,South Africa,bat,India,South Africa
Sri Lanka,,2014-04-06,Shere Bangla National Stadium,Sri Lanka,field,India,Sri Lanka
Sri Lanka,,2014-05-20,Kennington Oval,England,field,England,Sri Lanka
New Zealand,,2014-07-05,"Windsor Park, Roseau",New Zealand,field,West Indies,New Zealand
West Indies,,2014-07-06,"Windsor Park, Roseau",New Zealand,field,West Indies,New Zealand
England,,2014-09-07,Edgbaston,England,bat,England,India
Australia,,2014-10-05,Dubai International Cricket Stadium,Pakistan,bat,Australia,Pakistan
South Africa,,2014-11-05,Adelaide Oval,Australia,bat,Australia,South Africa
Australia,,2014-11-07,Melbourne Cricket Ground,South Africa,bat,Australia,South Africa
Australia,,2014-11-09,Stadium Australia,Australia,field,Australia,South Africa
Hong Kong,,2014-11-24,P Sara Oval,Hong Kong,field,Hong Kong,Nepal
Pakistan,,2014-12-04,Dubai International Cricket Stadium,Pakistan,field,New Zealand,Pakistan
New Zealand,,2014-12-05,Dubai International Cricket Stadium,Pakistan,field,New Zealand,Pakistan
West Indies,,2015-01-09,Newlands,South Africa,bat,South Africa,West Indies
West Indies,,2015-01-11,New Wanderers Stadium,West Indies,field,South Africa,West Indies
South Africa,,2015-01-14,Kingsmead,West Indies,field,South Africa,West Indies
Bangladesh,,2015-04-24,Shere Bangla National Stadium,Pakistan,bat,Bangladesh,Pakistan
Pakistan,,2015-05-22,Gaddafi Stadium,Zimbabwe,bat,Pakistan,Zimbabwe
Pakistan,,2015-05-24,Gaddafi Stadium,Zimbabwe,bat,Pakistan,Zimbabwe
Scotland,,2015-06-20,"Bready Cricket Club, Magheramason",Scotland,field,Ireland,Scotland
England,,2015-06-23,Old Trafford,England,bat,England,New Zealand
Netherlands,,2015-07-01,VRA Ground,Nepal,field,Netherlands,Nepal
Netherlands,,2015-07-02,Hazelaarweg,Netherlands,bat,Netherlands,Nepal
South Africa,,2015-07-05,Shere Bangla National Stadium,South Africa,bat,Bangladesh,South Africa
South Africa,,2015-07-07,Shere Bangla National Stadium,South Africa,bat,Bangladesh,South Africa
Scotland,,2015-07-09,"Grange Cricket Club Ground, Raeburn Place",Scotland,field,Scotland,United Arab Emirates
Netherlands,,2015-07-11,"Grange Cricket Club Ground, Raeburn Place",Netherlands,bat,Scotland,Netherlands
Netherlands,,2015-07-12,"Grange Cricket Club Ground, Raeburn Place",Netherlands,field,Netherlands,United Arab Emirates
Ireland,,2015-07-13,"Civil Service Cricket Club, Stormont",Ireland,field,Nepal,Ireland
Hong Kong,,2015-07-15,"Civil Service Cricket Club, Stormont",Hong Kong,field,Hong Kong,Nepal
Papua New Guinea,,2015-07-15,"Civil Service Cricket Club, Stormont",Ireland,bat,Ireland,Papua New Guinea
Papua New Guinea,,2015-07-17,"The Village, Malahide",Papua New Guinea,field,Nepal,Papua New Guinea
India,,2015-07-17,Harare Sports Club,India,bat,Zimbabwe,India
Hong Kong,,2015-07-17,"The Village, Malahide",Ireland,field,Ireland,Hong Kong
Zimbabwe,,2015-07-19,Harare Sports Club,Zimbabwe,bat,Zimbabwe,India
Netherlands,,2015-07-25,"The Village, Malahide",Netherlands,field,Ireland,Netherlands
Scotland,,2015-07-25,"The Village, Malahide",Scotland,field,Hong Kong,Scotland
Pakistan,,2015-07-30,R Premadasa Stadium,Pakistan,bat,Sri Lanka,Pakistan
Pakistan,,2015-08-01,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka,Pakistan
New Zealand,,2015-08-09,Harare Sports Club,Zimbabwe,field,Zimbabwe,New Zealand
South Africa,,2015-08-14,Kingsmead,South Africa,field,South Africa,New Zealand
New Zealand,,2015-08-16,SuperSport Park,New Zealand,bat,South Africa,New Zealand
England,,2015-08-31,Sophia Gardens,Australia,field,England,Australia
Pakistan,,2015-09-27,Harare Sports Club,Pakistan,bat,Zimbabwe,Pakistan
Pakistan,,2015-09-29,Harare Sports Club,Pakistan,bat,Zimbabwe,Pakistan
South Africa,,2015-10-02,Himachal Pradesh Cricket Association Stadium,South Africa,field,India,South Africa
South Africa,,2015-10-05,Barabati Stadium,South Africa,field,India,South Africa
Sri Lanka,,2015-11-09,Pallekele International Cricket Stadium,West Indies,field,Sri Lanka,West Indies
West Indies,,2015-11-11,R Premadasa Stadium,West Indies,bat,Sri Lanka,West Indies
Bangladesh,,2015-11-13,Shere Bangla National Stadium,Bangladesh,field,Bangladesh,Zimbabwe
Zimbabwe,,2015-11-15,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh,Zimbabwe
Oman,,2015-11-21,Sheikh Zayed Stadium,Oman,field,Hong Kong,Oman
United Arab Emirates,,2015-11-22,Sheikh Zayed Stadium,United Arab Emirates,field,United Arab Emirates,Oman
Oman,,2015-11-25,Sheikh Zayed Stadium,Hong Kong,field,Hong Kong,Oman
Hong Kong,,2015-11-26,Sheikh Zayed Stadium,Hong Kong,field,Hong Kong,Oman
England,,2015-11-26,Dubai International Cricket Stadium,England,bat,England,Pakistan
England,,2015-11-27,Dubai International Cricket Stadium,England,bat,England,Pakistan
New Zealand,,2016-01-07,Bay Oval,Sri Lanka,field,New Zealand,Sri Lanka
New Zealand,,2016-01-10,Eden Park,New Zealand,field,New Zealand,Sri Lanka
Pakistan,,2016-01-15,Eden Park,New Zealand,field,New Zealand,Pakistan
Bangladesh,,2016-01-15,Sheikh Abu Naser Stadium,Zimbabwe,bat,Bangladesh,Zimbabwe
Bangladesh,,2016-01-17,Sheikh Abu Naser Stadium,Bangladesh,bat,Bangladesh,Zimbabwe
New Zealand,,2016-01-17,Seddon Park,Pakistan,bat,New Zealand,Pakistan
Zimbabwe,,2016-01-20,Sheikh Abu Naser Stadium,Zimbabwe,bat,Bangladesh,Zimbabwe
New Zealand,,2016-01-22,Westpac Stadium,Pakistan,field,New Zealand,Pakistan
Zimbabwe,,2016-01-22,Sheikh Abu Naser Stadium,Zimbabwe,bat,Bangladesh,Zimbabwe
India,,2016-01-26,Adelaide Oval,Australia,field,Australia,India
India,,2016-01-29,Melbourne Cricket Ground,Australia,field,Australia,India
Hong Kong,,2016-01-30,"Mission Road Ground, Mong Kok",Hong Kong,field,Hong Kong,Scotland
India,,2016-01-31,Sydney Cricket Ground,Australia,bat,Australia,India
Scotland,,2016-01-31,"Mission Road Ground, Mong Kok",Hong Kong,field,Hong Kong,Scotland
Netherlands,,2016-02-03,ICC Academy,United Arab Emirates,field,United Arab Emirates,Netherlands
United Arab Emirates,,2016-02-04,ICC Academy,United Arab Emirates,bat,United Arab Emirates,Scotland
Ireland,,2016-02-07,Tony Ireland Stadium,Papua New Guinea,field,Ireland,Papua New Guinea
Sri Lanka,,2016-02-09,Maharashtra Cricket Association Stadium,Sri Lanka,field,India,Sri Lanka
Papua New Guinea,,2016-02-09,Tony Ireland Stadium,Papua New Guinea,bat,Ireland,Papua New Guinea
India,,2016-02-12,JSCA International Stadium Complex,Sri Lanka,field,India,Sri Lanka
India,,2016-02-14,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,field,India,Sri Lanka
Ireland,,2016-02-14,Sheikh Zayed Stadium,United Arab Emirates,field,United Arab Emirates,Ireland
United Arab Emirates,,2016-02-16,Sheikh Zayed Stadium,United Arab Emirates,bat,United Arab Emirates,Ireland
South Africa,,2016-02-19,Newlands,South Africa,field,South Africa,England
Oman,,2016-02-19,Khan Shaheb Osman Ali Stadium,Oman,bat,Hong Kong,Oman
South Africa,,2016-02-21,New Wanderers Stadium,South Africa,field,South Africa,England
United Arab Emirates,,2016-02-21,Khan Shaheb Osman Ali Stadium,Hong Kong,bat,Hong Kong,United Arab Emirates
United Arab Emirates,,2016-02-22,Shere Bangla National Stadium,Oman,field,Oman,United Arab Emirates
India,,2016-02-24,Shere Bangla National Stadium,Bangladesh,field,India,Bangladesh
Sri Lanka,,2016-02-25,Shere Bangla National Stadium,United Arab Emirates,field,Sri Lanka,United Arab Emirates
Bangladesh,,2016-02-26,Shere Bangla National Stadium,United Arab Emirates,field,Bangladesh,United Arab Emirates
India,,2016-02-27,Shere Bangla National Stadium,India,field,India,Pakistan
Bangladesh,,2016-02-28,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh,Sri Lanka
Pakistan,,2016-02-29,Shere Bangla National Stadium,United Arab Emirates,bat,Pakistan,United Arab Emirates
India,,2016-03-01,Shere Bangla National Stadium,India,field,India,Sri Lanka
Bangladesh,,2016-03-02,Shere Bangla National Stadium,Pakistan,bat,Bangladesh,Pakistan
India,,2016-03-03,Shere Bangla National Stadium,United Arab Emirates,bat,India,United Arab Emirates
South Africa,,2016-03-04,Kingsmead,Australia,bat,South Africa,Australia
Pakistan,,2016-03-04,Shere Bangla National Stadium,Pakistan,field,Pakistan,Sri Lanka
India,,2016-03-06,Shere Bangla National Stadium,India,field,Bangladesh,India
Australia,,2016-03-06,New Wanderers Stadium,Australia,field,South Africa,Australia
Zimbabwe,,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",Hong Kong,field,Hong Kong,Zimbabwe
Australia,,2016-03-09,Newlands,South Africa,bat,South Africa,Australia
Oman,,2016-03-09,Himachal Pradesh Cricket Association Stadium,Ireland,bat,Ireland,Oman
Bangladesh,,2016-03-09,Himachal Pradesh Cricket Association Stadium,Netherlands,field,Bangladesh,Netherlands
Zimbabwe,,2016-03-10,"Vidarbha Cricket Association Stadium, Jamtha",Zimbabwe,bat,Scotland,Zimbabwe
Scotland,,2016-03-12,"Vidarbha Cricket Association Stadium, Jamtha",Hong Kong,bat,Hong Kong,Scotland
Bangladesh,,2016-03-13,Himachal Pradesh Cricket Association Stadium,Oman,field,Bangladesh,Oman
Netherlands,,2016-03-13,Himachal Pradesh Cricket Association Stadium,Ireland,field,Ireland,Netherlands
New Zealand,,2016-03-15,"Vidarbha Cricket Association Stadium, Jamtha",New Zealand,bat,India,New Zealand
Pakistan,,2016-03-16,Eden Gardens,Pakistan,bat,Bangladesh,Pakistan
West Indies,,2016-03-16,Wankhede Stadium,West Indies,field,England,West Indies
England,,2016-03-18,Wankhede Stadium,England,field,England,South Africa
New Zealand,,2016-03-18,Himachal Pradesh Cricket Association Stadium,New Zealand,bat,Australia,New Zealand
India,,2016-03-19,Eden Gardens,India,field,India,Pakistan
West Indies,,2016-03-20,M Chinnaswamy Stadium,West Indies,field,Sri Lanka,West Indies
Australia,,2016-03-21,M Chinnaswamy Stadium,Australia,field,Australia,Bangladesh
New Zealand,,2016-03-22,"Punjab Cricket Association IS Bindra Stadium, Mohali",New Zealand,bat,New Zealand,Pakistan
India,,2016-03-23,M Chinnaswamy Stadium,Bangladesh,field,India,Bangladesh
West Indies,,2016-03-25,"Vidarbha Cricket Association Stadium, Jamtha",West Indies,field,South Africa,West Indies
Australia,,2016-03-25,"Punjab Cricket Association IS Bindra Stadium, Mohali",Australia,bat,Australia,Pakistan
England,,2016-03-26,Feroz Shah Kotla,Sri Lanka,field,England,Sri Lanka
New Zealand,,2016-03-26,Eden Gardens,New Zealand,bat,Bangladesh,New Zealand
India,,2016-03-27,"Punjab Cricket Association IS Bindra Stadium, Mohali",Australia,bat,India,Australia
South Africa,,2016-03-28,Feroz Shah Kotla,South Africa,field,South Africa,Sri Lanka
England,,2016-03-30,Feroz Shah Kotla,England,field,England,New Zealand
West Indies,,2016-03-31,Wankhede Stadium,West Indies,field,India,West Indies
West Indies,,2016-04-03,Eden Gardens,West Indies,field,England,West Indies
Zimbabwe,,2016-06-18,Harare Sports Club,India,field,Zimbabwe,India
India,,2016-06-20,Harare Sports Club,Zimbabwe,bat,Zimbabwe,India
India,,2016-06-22,Harare Sports Club,Zimbabwe,field,Zimbabwe,India
England,,2016-07-05,The Rose Bowl,Sri Lanka,bat,England,Sri Lanka
West Indies,,2016-08-27,Central Broward Regional Park Stadium Turf Ground,India,field,India,West Indies
Hong Kong,,2016-09-05,"Bready Cricket Club, Magheramason",Hong Kong,bat,Ireland,Hong Kong
Australia,,2016-09-06,Pallekele International Cricket Stadium,Sri Lanka,field,Sri Lanka,Australia
Pakistan,,2016-09-07,Old Trafford,England,bat,England,Pakistan
Australia,,2016-09-09,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka,Australia
Pakistan,,2016-09-23,Dubai International Cricket Stadium,Pakistan,field,Pakistan,West Indies
Pakistan,,2016-09-24,Dubai International Cricket Stadium,West Indies,field,Pakistan,West Indies
Pakistan,,2016-09-27,Sheikh Zayed Stadium,Pakistan,field,Pakistan,West Indies
New Zealand,,2017-01-03,McLean Park,Bangladesh,bat,New Zealand,Bangladesh
New Zealand,,2017-01-06,Bay Oval,Bangladesh,field,New Zealand,Bangladesh
New Zealand,,2017-01-08,Bay Oval,Bangladesh,field,New Zealand,Bangladesh
Scotland,,2017-01-14,Sheikh Zayed Stadium,Scotland,bat,Hong Kong,Scotland
Netherlands,,2017-01-15,Sheikh Zayed Stadium,Oman,bat,Netherlands,Oman
Oman,,2017-01-16,Sheikh Zayed Stadium,Oman,field,Hong Kong,Oman
Scotland,,2017-01-17,Sheikh Zayed Stadium,Netherlands,field,Netherlands,Scotland
Hong Kong,,2017-01-18,Dubai International Cricket Stadium,Hong Kong,bat,Hong Kong,Netherlands
Ireland,,2017-01-18,Dubai International Cricket Stadium,Ireland,bat,United Arab Emirates,Ireland
Scotland,,2017-01-19,Dubai International Cricket Stadium,Oman,bat,Oman,Scotland
Ireland,,2017-01-20,Dubai International Cricket Stadium,Scotland,field,Ireland,Scotland
South Africa,,2017-01-20,SuperSport Park,Sri Lanka,field,South Africa,Sri Lanka
Sri Lanka,,2017-01-22,New Wanderers Stadium,South Africa,bat,South Africa,Sri Lanka
Sri Lanka,,2017-01-25,Newlands,South Africa,bat,South Africa,Sri Lanka
England,,2017-01-26,Green Park,England,field,India,England
India,,2017-01-29,"Vidarbha Cricket Association Stadium, Jamtha",England,field,India,England
India,,2017-02-01,M Chinnaswamy Stadium,England,field,India,England
South Africa,,2017-02-17,Eden Park,New Zealand,field,New Zealand,South Africa
Sri Lanka,,2017-02-17,Melbourne Cricket Ground,Sri Lanka,field,Australia,Sri Lanka
Sri Lanka,,2017-02-19,"Simonds Stadium, South Geelong",Sri Lanka,field,Australia,Sri Lanka
Australia,,2017-02-22,Adelaide Oval,Sri Lanka,field,Australia,Sri Lanka
Pakistan,,2017-03-26,"Kensington Oval, Bridgetown",Pakistan,field,West Indies,Pakistan
Pakistan,,2017-03-30,"Queen's Park Oval, Port of Spain",West Indies,field,West Indies,Pakistan
West Indies,,2017-04-01,"Queen's Park Oval, Port of Spain",Pakistan,bat,West Indies,Pakistan
Pakistan,,2017-04-02,"Queen's Park Oval, Port of Spain",Pakistan,field,West Indies,Pakistan
Sri Lanka,,2017-04-04,R Premadasa Stadium,Bangladesh,bat,Sri Lanka,Bangladesh
Bangladesh,,2017-04-06,R Premadasa Stadium,Bangladesh,bat,Sri Lanka,Bangladesh
United Arab Emirates,,2017-04-12,Sheikh Zayed Stadium,United Arab Emirates,field,United Arab Emirates,Papua New Guinea
United Arab Emirates,,2017-04-14,Sheikh Zayed Stadium,Papua New Guinea,field,United Arab Emirates,Papua New Guinea
United Arab Emirates,,2017-04-14,Sheikh Zayed Stadium,Papua New Guinea,bat,United Arab Emirates,Papua New Guinea
England,,2017-06-21,The Rose Bowl,South Africa,bat,England,South Africa
South Africa,,2017-06-23,County Ground,England,field,England,South Africa
England,,2017-06-25,Sophia Gardens,South Africa,field,England,South Africa
West Indies,,2017-07-09,"Sabina Park, Kingston",West Indies,field,West Indies,India
India,,2017-09-06,"R.Premadasa Stadium, Khettarama",India,field,Sri Lanka,India
Pakistan,,2017-09-12,Gaddafi Stadium,ICC World XI,field,Pakistan,ICC World XI
ICC World XI,,2017-09-13,Gaddafi Stadium,Pakistan,bat,Pakistan,ICC World XI
Pakistan,,2017-09-15,Gaddafi Stadium,ICC World XI,field,Pakistan,ICC World XI
West Indies,,2017-09-16,Riverside Ground,England,field,West Indies,England
India,,2017-10-07,JSCA International Stadium Complex,India,field,Australia,India
Australia,,2017-10-10,Barsapara Cricket Stadium,Australia,field,India,Australia
Pakistan,,2017-10-26,Sheikh Zayed Stadium,Pakistan,field,Sri Lanka,Pakistan
South Africa,,2017-10-26,Mangaung Oval,South Africa,bat,South Africa,Bangladesh
Pakistan,,2017-10-27,Sheikh Zayed Stadium,Pakistan,field,Sri Lanka,Pakistan
Pakistan,,2017-10-29,Gaddafi Stadium,Sri Lanka,field,Pakistan,Sri Lanka
South Africa,,2017-10-29,Senwes Park,Bangladesh,field,South Africa,Bangladesh
India,,2017-11-01,Arun Jaitley Stadium,New Zealand,field,India,New Zealand
New Zealand,,2017-11-04,Saurashtra Cricket Association Stadium,New Zealand,bat,New Zealand,India
India,,2017-11-07,Greenfield International Stadium,New Zealand,field,India,New Zealand
India,,2017-12-20,Barabati Stadium,Sri Lanka,field,India,Sri Lanka
India,,2017-12-22,Holkar Cricket Stadium,Sri Lanka,field,India,Sri Lanka
India,,2017-12-24,Wankhede Stadium,India,field,Sri Lanka,India
New Zealand,,2017-12-29,Saxton Oval,West Indies,field,New Zealand,West Indies
New Zealand,,2018-01-03,Bay Oval,New Zealand,bat,New Zealand,West Indies
New Zealand,,2018-01-22,Westpac Stadium,New Zealand,field,Pakistan,New Zealand
Pakistan,,2018-01-25,Eden Park,Pakistan,bat,Pakistan,New Zealand
Pakistan,,2018-01-28,Bay Oval,Pakistan,bat,Pakistan,New Zealand
Australia,,2018-02-03,Sydney Cricket Ground,Australia,field,New Zealand,Australia
Australia,,2018-02-07,Bellerive Oval,Australia,field,England,Australia
Australia,,2018-02-10,Melbourne Cricket Ground,Australia,field,England,Australia
New Zealand,,2018-02-13,Westpac Stadium,England,field,New Zealand,England
Sri Lanka,,2018-02-15,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh,Sri Lanka
Australia,,2018-02-16,Eden Park,New Zealand,bat,New Zealand,Australia
India,,2018-02-18,The Wanderers Stadium,South Africa,field,India,South Africa
England,,2018-02-18,Seddon Park,New Zealand,field,England,New Zealand
Sri Lanka,,2018-02-18,Sylhet International Cricket Stadium,Bangladesh,field,Sri Lanka,Bangladesh
Australia,,2018-02-21,Eden Park,New Zealand,bat,New Zealand,Australia
South Africa,,2018-02-21,SuperSport Park,South Africa,field,India,South Africa
India,,2018-02-24,Newlands,South Africa,field,India,South Africa
Sri Lanka,,2018-03-06,"R.Premadasa Stadium, Khettarama",Sri Lanka,field,India,Sri Lanka
India,,2018-03-08,"R.Premadasa Stadium, Khettarama",India,field,Bangladesh,India
Bangladesh,,2018-03-10,"R.Premadasa Stadium, Khettarama",Bangladesh,field,Sri Lanka,Bangladesh
India,,2018-03-12,"R.Premadasa Stadium, Khettarama",India,field,Sri Lanka,India
India,,2018-03-14,"R.Premadasa Stadium, Khettarama",Bangladesh,field,India,Bangladesh
Bangladesh,,2018-03-16,"R.Premadasa Stadium, Khettarama",Bangladesh,field,Sri Lanka,Bangladesh
India,,2018-03-18,"R.Premadasa Stadium, Khettarama",India,field,Bangladesh,India
Pakistan,,2018-04-01,National Stadium,West Indies,field,Pakistan,West Indies
Pakistan,,2018-04-02,National Stadium,Pakistan,bat,Pakistan,West Indies
Pakistan,,2018-04-03,National Stadium,West Indies,bat,West Indies,Pakistan
West Indies,,2018-05-31,Lord's,ICC World XI,field,West Indies,ICC World XI
Pakistan,,2018-06-12,"Grange Cricket Club, Raeburn Place",Pakistan,bat,Pakistan,Scotland
